 

stn;time;breclod0;brefard0;dkl010d0;fu3010d0;fu3010d1;gre000d0;hns000d0;hto000d0;pp0qnhd0;rka150d0;sremaxdv;su2000d0;tre200d0;tre200dn;tre200dv;tre200dx;ure200d0
BAS;20170101;0;0;108;7.6;26.6;65;0;0;1023.4;0.0;99;6.6;-2.0;-4.5;-3.8;2.2;86.0
BAS;20170102;0;0;135;4.0;19.4;25;2;0;1023.2;1.8;0;0.0;-1.2;-4.0;-3.0;1.5;93.2
BAS;20170103;0;0;270;2.9;9.4;43;0;2;1027.6;0.0;28;1.8;-1.8;-4.8;-3.6;0.3;90.2
BAS;20170104;0;0;260;9.4;39.6;11;1;0;1021.9;0.3;0;0.0;-0.1;-4.9;-1.8;2.0;82.0
BAS;20170105;0;0;282;7.2;31.7;32;1;1;1027.4;1.2;14;0.9;-1.0;-7.3;-2.7;1.4;83.0
BAS;20170106;0;0;85;5.4;28.1;72;0;2;1036.8;0.0;100;6.8;-6.2;-9.7;-7.9;-2.5;74.8
BAS;20170107;0;0;99;5.0;17.3;42;1;2;1033.9;0.0;9;0.6;-6.3;-10.5;-8.0;-3.5;73.8
BAS;20170108;0;0;63;2.5;14.8;28;1;2;1030.8;0.1;0;0.0;-1.6;-3.7;-3.2;0.1;87.9
BAS;20170109;0;0;191;3.6;17.3;30;1;2;1026.6;0.0;0;0.0;-0.1;-0.9;-1.7;1.6;78.3
BAS;20170110;0;0;111;6.1;27.7;17;6;3;1012.4;4.4;0;0.0;-0.1;-1.6;-1.7;1.2;91.9
BAS;20170111;0;0;225;6.1;44.3;28;0;8;1015.7;0.6;2;0.1;2.9;-1.1;1.3;6.7;84.9
BAS;20170112;0;0;242;11.5;88.9;21;0;1;1012.0;3.1;0;0.0;6.3;3.8;4.7;9.2;78.6
BAS;20170113;0;0;259;16.9;77.0;30;0;0;1007.0;2.3;13;0.9;1.7;-0.2;0.1;7.4;76.9
BAS;20170114;0;0;257;14.4;50.0;25;4;0;1015.4;0.8;0;0.0;0.7;-1.6;-0.8;1.9;80.3
BAS;20170115;0;0;225;5.8;20.9;30;1;4;1021.3;1.2;0;0.0;-0.8;-2.8;-2.3;0.7;83.7
BAS;20170116;0;0;30;4.7;26.6;31;1;3;1023.0;0.4;0;0.0;-2.8;-5.6;-4.3;-1.0;84.1
BAS;20170117;0;0;53;10.8;64.4;56;0;4;1027.9;0.0;35;2.7;-3.4;-7.0;-4.9;-1.0;69.2
BAS;20170118;0;0;80;18.4;57.2;54;0;3;1030.0;0.0;52;4.0;-2.8;-4.3;-4.3;-1.4;60.6
BAS;20170119;0;0;74;10.8;41.4;27;0;2;1031.1;0.0;1;0.1;-4.5;-7.1;-6.0;-2.7;75.2
BAS;20170120;0;0;90;14.4;37.8;69;0;2;1030.3;0.0;69;5.4;-4.4;-6.0;-5.9;-2.5;76.2
BAS;20170121;0;0;94;11.2;33.8;82;0;1;1027.9;0.0;95;7.5;-4.7;-7.7;-6.2;-1.1;83.0
BAS;20170122;0;0;93;7.9;27.0;82;0;1;1024.6;0.0;88;6.9;-5.0;-9.4;-6.5;-1.3;83.7
BAS;20170123;0;0;225;3.6;12.6;31;0;1;1024.4;0.0;0;0.0;-6.7;-7.8;-8.2;-4.7;90.6
BAS;20170124;0;0;180;5.0;18.7;11;0;1;1026.2;0.0;0;0.0;-6.2;-7.5;-7.7;-4.7;85.4
BAS;20170125;0;0;90;13.3;40.3;21;0;1;1026.6;0.0;0;0.0;-5.5;-6.2;-7.0;-4.7;73.0
BAS;20170126;0;0;96;14.0;38.9;85;0;1;1023.0;0.0;84;6.8;-4.5;-5.9;-6.0;-2.0;74.8
BAS;20170127;0;0;114;4.7;35.3;70;0;1;1019.7;0.0;30;2.5;-2.2;-8.0;-3.8;2.8;74.1
BAS;20170128;0;1;114;5.0;26.3;59;0;1;1019.6;0.0;24;1.9;0.1;-5.0;-1.5;4.3;76.1
BAS;20170129;0;0;108;7.2;24.5;73;0;1;1022.5;0.0;33;2.7;2.3;-1.8;0.7;8.3;77.4
BAS;20170130;0;0;107;8.6;29.2;20;0;0;1017.6;1.8;0;0.0;2.9;0.9;1.3;4.4;85.5
BAS;20170131;0;0;104;4.0;15.5;9;0;0;1016.0;17.6;0;0.0;5.3;3.6;3.7;6.7;96.8
BAS;20170201;0;0;63;4.0;20.5;75;0;0;1016.2;3.1;52;4.4;5.0;2.1;3.3;11.1;94.5
BAS;20170202;0;0;101;13.0;36.7;91;0;0;1011.2;0.0;76;6.4;7.1;4.5;5.4;11.5;85.4
BAS;20170203;0;0;158;8.3;38.2;92;0;0;1008.3;0.8;68;5.7;7.8;4.5;6.1;11.4;75.3
BAS;20170204;0;0;207;16.9;68.4;28;0;0;1004.1;0.7;5;0.4;6.4;3.2;4.6;9.3;67.9
BAS;20170205;0;0;103;10.1;39.2;13;0;0;1003.6;12.9;0;0.0;3.4;2.1;1.6;5.5;84.8
BAS;20170206;0;0;315;3.6;15.5;48;0;0;1015.0;4.1;23;2.0;4.3;2.4;2.4;7.1;91.7
BAS;20170207;0;0;106;6.1;22.0;44;0;0;1017.0;5.4;0;0.0;3.8;1.9;1.9;6.2;90.5
BAS;20170208;0;0;14;4.3;18.4;18;0;0;1019.6;3.7;0;0.0;3.5;2.5;1.5;4.5;93.5
BAS;20170209;0;0;27;6.5;25.6;53;0;0;1021.3;0.0;8;0.7;1.2;-0.6;-0.8;2.6;83.2
BAS;20170210;0;0;90;8.3;34.9;49;0;0;1018.5;0.7;30;2.6;1.5;-0.9;-0.6;4.3;83.0
BAS;20170211;0;0;95;16.2;41.0;88;0;0;1018.1;0.0;38;3.3;3.6;1.7;1.4;6.8;76.4
BAS;20170212;0;0;73;7.6;28.8;96;0;0;1022.3;0.0;61;5.4;3.8;0.8;1.5;9.6;78.5
